CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PRIMARY_PHONE,REGISTERED_AT,CITY,AREA,LAT,LNG,SEGMENT,IS_PRIME_MEMBER,STATUS
1,James Daugherty,jocurry@example.net,1935419318,2023-10-09 08:21:00,Chennai,North,-52.975161,-44.533725,Active,,
2,Jennifer Garcia,danielle52@example.net,0986504782,2024-07-12 02:58:00,Bengaluru,West,1.744730,122.192523,Churn_Risk,TRUE,ACTIVE
3,Troy White,friedmanlindsay@example.org,1635928033,2024-06-01 20:32:00,Bengaluru,Central,-0.9276255,105.355499,Active,1,
4,Andrew Rivers,nathaniel20@example.com,9486100241,2023-08-14 15:19:00,Chennai,West,80.036617,41.972384,Loyal,TRUE,ACTIVE
5,Stacey Brown,jacksonmichael@example.net,7356859939,2023-10-12 05:18:00,Mumbai,North,-31.0562945,-40.166078,Loyal,TRUE,ACTIVE
6,Robert Bray,jay84@example.net,9682622080,2023-12-19 20:36:00,Bengaluru,South,-75.0898135,-175.037737,New,N,
7,Donna Paul,gregory35@example.net,7091695022,2024-01-23 02:41:00,Pune,West,33.012785,-36.047480,Loyal,,
8,Jose Martinez,dianesmith@example.org,1090101152,2023-07-16 02:22:00,Hyderabad,Central,-77.2372855,-123.167279,Active,FALSE,INACTIVE
9,Andrea Ryan,robinsonemily@example.net,5093226898,2023-04-14 12:58:00,Bengaluru,South,-16.483522,-67.829546,Churn_Risk,FALSE,
10,Matthew Cooper,rebecca84@example.net,7588155474,2023-08-03 22:52:00,Delhi,South,-79.9270435,119.787251,New,0,
11,Jimmy Hamilton,perkinsmichael@example.org,0759601689,2023-09-08 05:34:00,Chennai,East,28.541177,-3.289274,Churn_Risk,0,INACTIVE
12,Shelly Foster,hansoncynthia@example.net,3021463449,2024-12-02 11:04:00,Chennai,Central,79.423151,-33.243818,Active,TRUE,ACTIVE
13,Michelle Cox,qlane@example.com,3590761556,2023-08-05 19:21:00,Delhi,South,17.9191445,150.396186,Active,N,
14,Nathan Fitzgerald,charvey@example.org,2304548558,2024-10-20 15:39:00,Pune,North,-57.0307345,148.869763,Loyal,N,ACTIVE
15,Amy Morris,brittney75@example.net,6695528671,2023-09-27 19:57:00,Mumbai,East,-6.9814745,124.332475,Churn_Risk,TRUE,INACTIVE
16,Curtis Bradford,thomasbrady@example.org,5020356186,2023-04-04 01:36:00,Mumbai,Central,-61.9815255,-72.112931,Active,0,
17,Samantha Nelson,imiller@example.org,3754727119,2024-09-02 02:10:00,Mumbai,East,-65.250193,-68.524240,Churn_Risk,FALSE,
18,Christine Huber,oconnorcody@example.org,8709610993,2024-07-20 00:23:00,Pune,Central,-60.413451,-146.057708,Loyal,,
19,Rhonda Massey,jeffreyfischer@example.org,6763616308,2023-06-11 15:29:00,Delhi,Central,-15.7332855,-143.594754,Loyal,1,
